label,review
Negative,"the first 10 hours will lull you in, but honestly this game just kinda blows. There is next to zero exploration worth. It's a boss rush game through and through, and the combat isn't remotely good enough to carry it. The bosses are just tedious endurance tests, with horrible hit-boxes and win conditions. The game emphasizes dodging, and then rewards you with really bizarre hitboxes because the enemies have invisible walls around their body which means you can't be underneath them, which mean your attacks constantly whiff, and bosses can hop a metre away and completely avoid your heavy attacks, which are your win condition.Banging your head against Consort Radahn was frustrating, but fun still because you could feel your progress and know you failed because you messed up. Everytime I failed against the bosses here it was because I ran out of HP to survive the onslaught of suspect hit detection and tedious gimmicks."
Negative,"I simply do not understand how this game is overwhelmingly positive.  It feels, in many places, extremely amateurish in fact.Level design is objectively terrible.  Huge open maps that feel procedurally generated they're so bland.  The game is positively littered with invisible walls which makes exploring a tedious mess.  Running down a path only to find that THIS one ends in an invisible wall while THAT one allows you to continue walking is shockingly awful.Levels are massive open spaces with a tiny smattering of enemies.  The game feels like a boss rush.  The camera is terrible, the bosses range from fine to terribly designed. The gear progression is completely pointless, the story is non existent, encounter design is comical.The devs might have said the game isn't a souls-like but it very obviously is.  Sadly it's a bad souls-like.  It's not even in the same universe of the best games in the genre.  Obviously it's hilariously bad compared to From games but it's also massively inferior to the Deck 13 games, the Remnant games, the Team Ninja games and most of the good 2D souls-like games.The game swings wildly from so comically easy the game is boring to annoyingly designed difficulty where you spend 60 percent of a fight literally running after a boss or running away as a boss floats in the air.The game looks nice.  I guess that's all it takes these days."
Negative,"I hate to downvote what is clearly a great game, but it has technical issues that prevent me from having a good experience. Random crashes and weird performance issues on AMD. I hope this review serves to amplify the voices of others having similar issues and catalyzes the developers to do the work this game deserves.I'll consider trying again once it receives some patches."
Negative,"I really don't understand the excitement around this game. Yes, it's pretty. Yes, the combat can be fun, and the story is interesting. But the controls are janky (like barely work half the time), there are invisible walls everywhere, and it's just boss after boss after boss. It's just plain annoying more often than fun. EDIT: i just finished the game and yea I realllly don't like it. The credits couldn't even run correctly lmao"
Negative,"Black Myth: Wukong is not the game that you think it is. The opening is strong, with gorgeous visuals, incredible art direction and mystifying enemy and boss design. The problems begin however when the introduction is over and the real game begins. Black Myth Wukong dresses itself as an RPG but this is only superficial. In reality, Black Myth Wukong is a Boss Rush. There's very little downtime between boss fights, often moving directly from one fight into another. When there is something in-between, the game offers only linear levels with nothing in the way of exploration.That's not to say that the game isn't entirely without merit. Visually the game is a feast for the eyes, and the music and sound design are top quality. The combat system is as visually pleasing as it is mechanically deep, there's an array of skills, spells, transformations, items and equipment at the players disposal.However, this variety is hampered by the totally linear progression, armour and weapons are not found in the game world, they are unlocked in the shop after an arbitrary amount of progress has been made. Likewise for spells and skills which are only unlocked after specific points of the story. This leaves the game severely lacking in player agency, there's no decision making in where to go or in what order you progress the story, each ""level"" of the game is a beautifully decorated corridor with a boss waiting for you at the end and even within a scant few hours, the shallow game-play loop becomes immediately apparent. The boss rush nature of the game falls flat without the framing behind it. Bosses that have fantastic visual design have no framing within the story, there's little to no lore or explanation behind the enemies you're facing and it can leave you erratically jumping from one quirky boss fight to another with a feeling of disconnect. Without this framing, the significance of the boss is lost and what could have been a grandiose fight becomes a pedestrian affair, each boss becomes just another box to tick on your road to the end of the game.Black Myth: Wukong is a spectacle, for sure, but it feels like it's using that spectacle as a crutch to distract from how little depth there to the gameplay, it feels like all of the mechanics of a good RPG were created, they just forgot to create the world to go with it."
Negative,"I can appreciate the developers effort on this title and constraining the scope to ensure they focus on their strengths i.e. simplify game world design - keeping it linear - and retaining the focus on combat experience (bosses).However, in truth, this is a ""AA title"" with higher fidelity graphics than is typical of the format.I am truly disappointed in the execution in terms of the combat mechanics however ambitious. There are systemic issues in combat system not being responsive enough i.e. input delays, hit boxes not registering etc.These issues amidst ambitious and aggressive combat become severely frustrating especially in critical moments - which can change the tide of battle - which undermine the players efforts; and especially when you progress further into the game and challenges ramp up in difficulty which then require the needed precision.In terms of the game play experience I would recommend holding off on buying this right now and rather wait until these issues are addressed, if at all.I will conclude this review in saying, I completed the game and the game play experience is truly subpar for this genre.NOTE: As I could not refund I insisted on pushing through and completing the game however the experience plays out as described above. As the game progressively demands more precision the flaws become exceedingly evident and hence excessively hinders the players journey with unrelenting frustration."
Negative,"Is Black Myth: Wukong the best game ever made and ever will be made? YES!...... no.A sudden uproar of positive feedback for this game brings me here.People claiming insane quality with immense praise, and already bursting out with GOTY trophies left and right.""The most beautiful-looking game ever"", ""A technological wonderland"" and other absurd claims alike. Hyping it up as if it's 1993 and DOOM just released.So, I was intrigued -- if not a little enticed. I've read the gameplay described as not too dissimilar of the Dark Souls games and Sekiro, with others mentioning God of War from 2018. I'm really not a large fan of either, to say it politely. But I wouldn't have encountered many of my favourite games if I weren't open-minded.Either way, I was mostly interested in the highly-praised visuals of the game......And I am disappointed.Don't get me wrong, the aesthetic of the game looks fine -- but the vaseline textures, low-poly rocks with extremely stretched details, dittered hair, AO flicker on foliage, and some sort of constant film-grain filter plus intense sharpening effect is just killing it for me. I've seen games from over 6 years ago look vastly better than this.The whole game just looks like a blurry, fuzzy mess. Yes, even after turning off motion-blur and all that default crap, yadda yadda yadda.Performance is okay for a UE5 title, but it looks nowhere near the ""gameplay"" trailers they've shown, and quite frankly the overall picture doesn't look good enough to justify the performance.I'm certain similar fidelity could be achieved in UE3 for a fraction of CPU/GPU resource cost.Playing with a i9-14900KF, RTX 4080 Super, and 64GB RAM; on all the highest settings with full RTX on... and performance is most definitely playable, but what's on screen doesn't really aptly translate to the tankiness of the game. Maybe that's due to the integrated Denuvo bullshit.The 130GB installation is just wild, honestly. Compare that to Elden Ring's 50GB. I mean, the complaint writes itself. No way the contents of the game have in any way been sorted and optimized, especially with its low-res texture fidelity.I don't wanna be a Twitter guy and whine about in-game graphics, but I'm just not seeing the substance of all these crazy claims fans are making.Still, if the game's good then I probably wouldn't complain about its visuals. But it isn't.Gameplay is a monotonous button-masher with little-to-no positively noteworthy aspects.Normal enemies are weak as shit and even a dog with the controller in its mouth could accidentally kill them, no sweat.Bosses are mostly just consistent of spamming dodge, since they have very bad tells and 0-frame attacks from across the arena that stunlock you in an infinite loop. And the intervals between dodges are taken up by slowly waiting for magic to go off cooldown, just like God of War (2018). With spells that make you immortal or another that immobilizes the enemy, it's nothing but hand-holding.Normal attacks are a waste to bother with, as the 3rd consecutive light attack has such a long delay that it's easier to just dash after the 2nd to reset it. And heavy attacks are so tediously wonky to pull-off and take forever to do that there's zero reason to ever do such a thing mid-battle.The healing mechanic has such a large delay that it's hard to immediately know whether the game even registered your input, so I end up accidentally doing multiple heals at once.Areas are extremely linear in progression, and actively discourages any of the basic yet optional side-explorations by filling each room with illogically placed invincible walls. So you're never really sure where you can go and where you can't.The game's camera is somehow even worse than any FromSoftware's titles, which is not a prideful achievement.It will shuffle and twitch around like it's a scene from Cloverfield.And if as much as a twig get in the way, it will zoom in for a thorough colonoscopy.Also, the story is boring as fuck, and the English voice-acting is absolutely horrid and on-par with Atomic Heart.I'm not sure whether I could comfortably classify this game as ""bad"", but I certainly would not recommend it as my short time with it was truly agonizing. I'm no longer interested in playing any more, so... refunded."
Negative,"This may be the first time playing a steam game that I have ever felt an overwhelming need to post a negative review.  It is a shame that the current state of the game includes a major design flaw that ruins an otherwise stellar experience.  It is one that is so bad that I find it hard to press on playing after almost a week of play.In the interest of fairness to the parts of the Wukong development team that actually did a great job, the following aspects of the game are deserving of its currently Overwhelmingly Positive review status:Pros Enemy Design Combat  Sound/Music Stability/Optimization Voice Acting (English)However, the one team that absolutely did not live up to the level of quality that their peers delivered is the Level Design team.   Not because the levels do not look good -- the environments look stunning.   Not because there is no map or map overlay -- I have played other similar games with no map (e.g. Lies of P) where the lack of a map did not bother me. Not because of the cryptic steps required to unlock secret areas -- Elden Ring did the same thing and while I did not like it, it was not a deal breakerThe killing blow to the experience for this game is the Boundary Design.  This game should have never been released with this level of lazy implementation of Player Boundary Design.  It is utterly inexcusable to price your game at the AAA level when it is clear that there was less effort put into player boundary design and QA testing than a Nintendo 64 release.Navigating through levels in this game feels like walking through a 10'x10' glass corridor where you never know if you are going to smash your face on the the glass a few feet where a wall or drop in elevation appears to be or if said change in elevation is actually a path of progression.  Cons Inconsistency between level visuals and level boundaries Boss arenas often contain player boundaries which do not also affect the boss Boss arena boundaries sometimes seem to be a fraction of what the arena appears to beThe ever-present level of inconsistency with visual indicators of game boundaries and the actual enforced game boundaries makes level navigation and exploration tedious at best.  I do not find it fun to brush up against or jump at everything that looks like a boundary in order to determine if it actually is.  This lack of visual consistency is a big letdown as many of the secret paths contain very useful rewards but the sheer tedium of brute-force invisible wall testing is exhausting to the point where I no longer want to play.  The final insult thrust upon me by the Level Design team was in the 3rd chapter where . . .  after you fight a certain boss on a mountain path there is a shiny item on a nearby ledge.  After more than 30 minutes of trying to find a path to that area I discovered that you need to fall off of the edge of a nearby cliff to find a lower path, which I found immensely insulting as the game spent the last 40 hours teaching me that cliff edges = invisible walls.  But now I am supposed to ignore all of that and just try it because . . . you know what, it doesn't matter because I am not playing your game anymore. If this ever gets fixed I will change my review, and if on the infinitely unlikely chance that the Wukong Game Director reads this review -- allow me to pose a hypothetical question for you:  ""If you went to a 5 Star Steakhouse and ordered their most expensive steak.  You receive the meal and it looks and smells wonderful but you find that you can not cut off a piece from the side.  The Chef tells you that the outer 1/3 of the steak is inedible but you can cut from the middle.  You take a cut from the middle and it tastes well above your expectations.  The second cut from the middle also tastes just as good if not better, but on your 3rd bite you taste nothing at all.  The Chef then explains that 1/3 of the inner portion is inadvertently devoid of taste""What kind of review would you leave for that Restaurant?EditAs a few people have noticed, my gametime is increasing even though I stated above that I would no longer play the game.  In reality I am working on a mod which requires having the game executable open in order to inspect and query game assets.  I anticipate I am no more than a few weeks away from having that released and will post to NexusMods when it is ready.However, I am willing to make an implied agreement with this game studio -- whether they ever end up seeing this or not:Both you and I know how poorly the Level Bounds execution is in this game, I have seen it and you are intimately familiar with it.  Your UE Landscape Collision Splines look fine and are only marginally overextended compared to the elevations that define them.  On the other hand . . . the LevelBounds BoxComponents and vector defined BGWBlockingVolumes are atrocious.  It is almost as if there were two separate teams responsible for those.  Your bounds often coverup areas that themselves have appropriate mesh collision which begs the question of why they were added in the first place.Now it is time for the DEAL. . . If you beat me in releasing an update that addresses the substandard boundary implementation elements . . . not only will I change my review to positive, but I will also not release my mod or any videos which may expose the embarrassing level of quality on display in your boundary design.  I say this knowing full well that the audience I would reach would be miniscule.  but you never know, it may end up reaching someone who actually does have an audience and they may run with it.UpdateSo I have finished the initial version of the mod and now I can start playing without being distracted by Invisible Walls.  I will leave this review as is until this is fixed in game without needing to install a mod.  If/When that happens I will change this review to Recommends.Mod is available on Nexus Mods -> https://www.nexusmods.com/blackmythwukong/mods/398"
Negative,"Don't trust the benchmark, be it the tool or the in-game one if you have a weak pc, the game suffers significant framedrops and stutters starting with the final boss of the first level, which could make you overdue for a refund.------------------Update after nearly another 20 hours:After got kicked back by steam refund policy, I found more means to improve performance and beat the first two levels, I must say I'm deeply impressed with the artworks of this game, true works of art. The stutters, clearly centered upon various effects, are said to be a nasty quirk of early UE5 engine after some discussion. I faced them again with the white dragon on chapter 3, this time even heavier when it starts casting lightnings.However its not unmanageable as long as you use spells to lock it out of using them, and the rolls in this game have a very long range and much more invincible frames even compared to Dark Souls 3, so its okay.Still I'll leave this here as negative as a fare warning. Performance on low-end pc only becomes acceptable with a lot of downgrading to real resolution and frame generation that comes with the algorithm to fake it, pixelating effects and everything in motions, which is everywhere in a fast paced arpg, so much that it often hurts the eyes, evident with the floating sands on chapter 2. Overall getting worse graphics than last-gen with worse frames, and the quirks of UE5 can make thing laughable at times, but I guess that's just how corpos force people to buy new hardware now a days."
Negative,"Overhyped to oblivion, game is very mid so far yet the amount of positive reviews would make you think that this is literally the best game ever made"
